run_id,source,image_name,wavelet,levels,y_thresh,c_thresh,y_quant,c_quant,chromasub,psnr_rgb,ssim_rgb,psnr_grey,ssim_grey,psnr_r,psnr_g,psnr_b,ssim_r,ssim_g,ssim_b,mae_rgb,max_abs_error,compression_ratio,bits_per_pixel,job_size_bytes,runtime_seconds,y_total_values,cb_total_values,cr_total_values,y_encoded_count,cb_encoded_count,cr_encoded_count
sweep_in_memory_IMG_5138_20260320_002539_321320_e62179f7,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,10,10,04:02:02,21.515074521271313,0.5924343916337155,21.57087587367711,0.587076412672745,21.303200613527874,21.467092309722272,21.788904058730022,0.5811120699147716,0.5779992914414586,0.6181918135449165,11.455329230135984,255,723.6910475813631,0.03316392143277064,50545,13.2110876250008,12280812,6159354,6159354,10871,7202,7157
sweep_in_memory_IMG_5138_20260320_002540_366083_b9e7d874,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,10,10,04:04:04,21.560335299427265,0.5930381604979479,21.571821572766645,0.5870555179486678,21.327883604631687,21.470267501135204,21.903322836373192,0.580814593022257,0.5785557871961304,0.6197441012754564,11.368090685669845,255,476.96553702520504,0.050319008776350045,76691,16.042140624998865,12280812,12280812,12280812,10871,13724,13708
sweep_in_memory_IMG_5138_20260320_002541_156591_108779fc,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,10,10,04:02:00,21.47901879437874,0.592220265985182,21.571114631249642,0.5876023695661994,21.282840332690718,21.46628355055173,21.69787239228865,0.581509956672701,0.57796581094808,0.617185030334765,11.514857085774125,253,984.284476495439,0.024383634626690184,37163,13.446750417002477,12280812,3092718,3092718,10871,3846,3822
sweep_in_memory_IMG_5138_20260320_002543_541583_ec5eddae,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,11,11,04:04:04,21.56032830598152,0.59302207516542,21.5717812474926,0.5870347479511723,21.327907735843986,21.47026669577599,21.90327347196296,0.5808076931775513,0.5785266061726781,0.6197319261460309,11.367537434212368,255,476.96553702520504,0.050319008776350045,76691,15.806628916998307,12280812,12280812,12280812,10871,13724,13708
sweep_in_memory_IMG_5138_20260320_002544_741812_b77fe650,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,11,11,04:02:02,21.515042081381466,0.5924243868948436,21.570846891096274,0.5870612912657556,21.303135533829135,21.467126421997303,21.788836450794218,0.581093892961885,0.5779833825940297,0.618195885128616,11.454617250706868,255,723.6910475813631,0.03316392143277064,50545,12.980858457998693,12280812,6159354,6159354,10871,7202,7157
sweep_in_memory_IMG_5138_20260320_002544_804357_10bbc279,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,11,11,04:02:00,21.478927573059376,0.5922045639543787,21.571029916143107,0.5875571387599273,21.28283856625911,21.46621668308214,21.69765706063131,0.5815237730580514,0.5779305505291592,0.6171593682759255,11.51459958340332,253,984.284476495439,0.024383634626690184,37163,13.043357415997889,12280812,3092718,3092718,10871,3846,3822
sweep_in_memory_IMG_5138_20260320_002548_568481_05b93376,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,12,12,04:04:04,21.560419807744402,0.5930225599643412,21.57183678510981,0.5870188327372688,21.32795380104064,21.470331201065086,21.903446674815918,0.580804868878575,0.5785131846119917,0.6197496264024568,11.367390297811511,254,476.96553702520504,0.050319008776350045,76691,16.5096767080031,12280812,12280812,12280812,10871,13724,13708
sweep_in_memory_IMG_5138_20260320_002548_838352_66d6a3d4,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,12,12,04:02:00,21.478992742792727,0.5922092048232497,21.57110604553992,0.587563674820714,21.2828770400381,21.46632303012843,21.697708171041832,0.5815372840103604,0.5779293209721355,0.6171610094872533,11.514328493743177,253,984.284476495439,0.024383634626690184,37163,13.345488333001413,12280812,3092718,3092718,10871,3846,3822
sweep_in_memory_IMG_5138_20260320_002549_456029_9e78f407,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,12,12,04:02:02,21.51513591498447,0.5924284539561929,21.570903531219212,0.5870393031752508,21.303209858415965,21.4671934754916,21.788980941563093,0.5811156043912206,0.5779670179198549,0.6182027395575033,11.454517109377187,255,723.6910475813631,0.03316392143277064,50545,14.323837791998812,12280812,6159354,6159354,10871,7202,7157
sweep_in_memory_IMG_5138_20260320_002552_504415_2dd96c0e,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.12,0.12,4,4,04:04:04,20.987364215907785,0.5682888211185224,21.16901199743046,0.5917091394787988,20.75542216461752,21.00119222869329,21.21781301975373,0.564187844010527,0.5662979766157761,0.5743806427292643,13.937230660010918,255,482.9990096787398,0.04969043944738389,75733,16.805072834002203,12280812,12280812,12280812,10404,13712,13708
